
지점정보,경도,위도,강수량(mm)
속초(90),128.56473,38.25085,679.3
북춘천(93),127.75443,37.94738,419.1
철원(95),127.3042,38.14787,504.7
동두천(98),127.0607,37.90188,439.5
파주(99),126.76648,37.88589,423.2
대관령(100),128.71834,37.67713,391.9
춘천(101),127.7357,37.90262,463.5
백령도(102),124.71237,37.97396,269.6
북강릉(104),128.85535,37.80456,637
강릉(105),128.89099,37.75147,558
동해(106),129.12433,37.50709,433
서울(108),126.9658,37.57142,410.1
인천(112),126.6249,37.47772,351.2
원주(114),127.94659,37.33749,268.1
울릉도(115),130.89863,37.48129,409.5
수원(119),126.983,37.25746,350
영월(121),128.45743,37.18126,248
충주(127),127.9525,36.97045,278
서산(129),126.4939,36.77658,398.8
울진(130),129.41278,36.99176,626.2
청주(131),127.44066,36.63924,278.6
대전(133),127.3721,36.37199,225.3
추풍령(135),127.99458,36.22025,218.3
안동(136),128.70733,36.57293,116.3
상주(137),128.15741,36.40837,201
포항(138),129.38002,36.03201,622.1
군산(140),126.76135,36.0053,229.8
대구(143),128.65296,35.87797,186.4
전주(146),127.11718,35.84092,192.6
울산(152),129.33469,35.58237,360.1
창원(155),128.57282,35.17019,211.8
광주(156),126.89156,35.17294,174.2
부산(159),129.03203,35.10468,233.4
통영(162),128.43561,34.84541,216.7
목포(165),126.38151,34.81732,173.3
여수(168),127.74063,34.73929,248.2
흑산도(169),125.45105,34.68719,179.2
완도(170),126.70182,34.3959,211.2
고창(172),126.599,35.34824,198.1
순천(174),127.3694,35.0204,245.2
홍성(177),126.68772,36.65759,342.6
제주(184),126.52969,33.51411,375.7
고산(185),126.16283,33.29382,438.7
성산(188),126.8802,33.38677,481.3
서귀포(189),126.5653,33.24616,417.8
진주(192),128.04004,35.16378,276.7
강화(201),126.44634,37.70739,422.2
양평(202),127.49446,37.48863,362.1
이천(203),127.48421,37.26399,323.3
인제(211),128.16714,38.05986,403.8
홍천(212),127.88043,37.6836,427.5
태백(216),128.98929,37.17038,325.5
정선군(217),128.6459,37.38149,246.7
제천(221),128.19433,37.15928,240.8
보은(226),127.73415,36.48761,201.3
천안(232),127.29282,36.76217,274.7
보령(235),126.55744,36.32724,237.3
부여(236),126.92079,36.27242,227.1
금산(238),127.48175,36.10563,181.7
세종(239),127.24438,36.48522,279.3
부안(243),126.71657,35.72961,187.2
임실(244),127.28556,35.61203,196.9
정읍(245),126.83904,35.56337,247.1
남원(247),127.39652,35.4213,177.6
장수(248),127.52031,35.65696,230.5
고창군(251),126.697,35.42661,239.8
영광군(252),126.47784,35.28366,240.8
김해시(253),128.89075,35.22981,191.9
순창군(254),127.1286,35.37131,178.4
북창원(255),128.6726,35.22655,257.6
양산시(257),129.02009,35.30737,338.7
보성군(258),127.21226,34.76335,240.9
강진군(259),126.78408,34.64457,257.1
장흥(260),126.91951,34.68886,212.3
해남(261),126.56907,34.55375,237.7
고흥(262),127.27572,34.61826,261.3
의령군(263),128.28812,35.32258,216.7
함양군(264),127.74538,35.51138,260.7
광양시(266),127.6914,34.9434,295.9
진도군(268),126.25846,34.47296,296.2
봉화(271),128.91449,36.94361,196.2
영주(272),128.51687,36.87183,190.2
문경(273),128.14879,36.62727,168.7
청송군(276),129.04005,36.4351,147.6
영덕(277),129.40926,36.53337,376.5
의성(278),128.68864,36.3561,131.5
구미(279),128.32055,36.13055,228.4
영천(281),128.9514,35.97742,170.3
경주시(283),129.2009,35.8174,370.1
거창(284),127.9099,35.66739,210.5
합천(285),128.16994,35.56505,260
밀양(288),128.74412,35.49147,190.2
산청(289),127.8791,35.413,253.6
거제(294),128.60459,34.88818,362.6
남해(295),127.92641,34.81662,403.8
