
지점정보,경도,위도,강수량(mm)
속초(90),128.56473,38.25085,977.9
북춘천(93),127.75443,37.94738,802.4
철원(95),127.3042,38.14787,845.4
동두천(98),127.0607,37.90188,829.9
파주(99),126.76648,37.88589,900.8
대관령(100),128.71834,37.67713,680
춘천(101),127.7357,37.90262,791.9
백령도(102),124.71237,37.97396,486.7
북강릉(104),128.85535,37.80456,783.3
강릉(105),128.89099,37.75147,785.5
동해(106),129.12433,37.50709,579.8
서울(108),126.9658,37.57142,953.6
인천(112),126.6249,37.47772,784.5
원주(114),127.94659,37.33749,836.3
울릉도(115),130.89863,37.48129,388.9
수원(119),126.983,37.25746,822.7
영월(121),128.45743,37.18126,962.4
충주(127),127.9525,36.97045,1041.8
서산(129),126.4939,36.77658,870.1
울진(130),129.41278,36.99176,581.2
청주(131),127.44066,36.63924,1096.7
대전(133),127.3721,36.37199,1250.7
추풍령(135),127.99458,36.22025,933.2
안동(136),128.70733,36.57293,962.5
상주(137),128.15741,36.40837,1025.5
포항(138),129.38002,36.03201,578.3
군산(140),126.76135,36.0053,1228.2
대구(143),128.65296,35.87797,790.2
전주(146),127.11718,35.84092,1179.7
울산(152),129.33469,35.58237,811.6
창원(155),128.57282,35.17019,1187.6
광주(156),126.89156,35.17294,1467
부산(159),129.03203,35.10468,1155.5
통영(162),128.43561,34.84541,1215.5
목포(165),126.38151,34.81732,950.9
여수(168),127.74063,34.73929,1027.6
흑산도(169),125.45105,34.68719,794.3
완도(170),126.70182,34.3959,783.4
고창(172),126.599,35.34824,574.9
순천(174),127.3694,35.0204,1226.7
홍성(177),126.68772,36.65759,861.7
서청주(예)(181),127.396944,36.63972,1088.2
제주(184),126.52969,33.51411,668.7
고산(185),126.16283,33.29382,646.7
성산(188),126.8802,33.38677,789.4
서귀포(189),126.5653,33.24616,1016.2
진주(192),128.04004,35.16378,1247.4
강화(201),126.44634,37.70739,750.7
양평(202),127.49446,37.48863,895.1
이천(203),127.48421,37.26399,957.1
인제(211),128.16714,38.05986,693.9
홍천(212),127.88043,37.6836,761.5
태백(216),128.98929,37.17038,879.1
정선군(217),128.6459,37.38149,815
제천(221),128.19433,37.15928,1077.5
보은(226),127.73415,36.48761,1209.1
천안(232),127.29282,36.76217,950.3
보령(235),126.55744,36.32724,975.1
부여(236),126.92079,36.27242,1303.1
금산(238),127.48175,36.10563,1070.1
세종(239),127.24438,36.48522,1280.7
부안(243),126.71657,35.72961,1062.9
임실(244),127.28556,35.61203,1244.8
정읍(245),126.83904,35.56337,1196.4
남원(247),127.39652,35.4213,1196.1
장수(248),127.52031,35.65696,1406
고창군(251),126.697,35.42661,838.9
영광군(252),126.47784,35.28366,817.7
김해시(253),128.89075,35.22981,927.7
순창군(254),127.1286,35.37131,1426.4
북창원(255),128.6726,35.22655,1098.8
양산시(257),129.02009,35.30737,1128.5
보성군(258),127.21226,34.76335,1089.3
강진군(259),126.78408,34.64457,1083.3
장흥(260),126.91951,34.68886,1150.5
해남(261),126.56907,34.55375,879.5
고흥(262),127.27572,34.61826,904.7
의령군(263),128.28812,35.32258,1074.1
함양군(264),127.74538,35.51138,1121.4
광양시(266),127.6914,34.9434,1398.6
진도군(268),126.25846,34.47296,806.5
봉화(271),128.91449,36.94361,1215.1
영주(272),128.51687,36.87183,1418.1
문경(273),128.14879,36.62727,1223.2
청송군(276),129.04005,36.4351,849.7
영덕(277),129.40926,36.53337,590.3
의성(278),128.68864,36.3561,985.8
구미(279),128.32055,36.13055,1143.9
영천(281),128.9514,35.97742,748.8
경주시(283),129.2009,35.8174,561.5
거창(284),127.9099,35.66739,997.1
합천(285),128.16994,35.56505,1122.2
밀양(288),128.74412,35.49147,1076.2
산청(289),127.8791,35.413,1226.1
거제(294),128.60459,34.88818,1344.8
남해(295),127.92641,34.81662,1478.9
