
지점정보,경도,위도,강수량(mm)
속초(90),128.56473,38.25085,157.1
북춘천(93),127.75443,37.94738,124.1
철원(95),127.3042,38.14787,123.3
동두천(98),127.0607,37.90188,125.2
파주(99),126.76648,37.88589,135.5
대관령(100),128.71834,37.67713,129.4
춘천(101),127.7357,37.90262,142.4
백령도(102),124.71237,37.97396,78.6
북강릉(104),128.85535,37.80456,171.6
강릉(105),128.89099,37.75147,177.5
동해(106),129.12433,37.50709,141.5
서울(108),126.9658,37.57142,130.5
인천(112),126.6249,37.47772,111.1
원주(114),127.94659,37.33749,134.3
울릉도(115),130.89863,37.48129,95.6
수원(119),126.983,37.25746,130.5
영월(121),128.45743,37.18126,110
충주(127),127.9525,36.97045,134.3
서산(129),126.4939,36.77658,127.2
울진(130),129.41278,36.99176,118.6
청주(131),127.44066,36.63924,113.3
대전(133),127.3721,36.37199,151.8
추풍령(135),127.99458,36.22025,132.9
안동(136),128.70733,36.57293,125.6
상주(137),128.15741,36.40837,153.5
포항(138),129.38002,36.03201,93.8
군산(140),126.76135,36.0053,166.8
대구(143),128.65296,35.87797,77
전주(146),127.11718,35.84092,184.8
울산(152),129.33469,35.58237,142.6
창원(155),128.57282,35.17019,239.5
광주(156),126.89156,35.17294,155
부산(159),129.03203,35.10468,263.4
통영(162),128.43561,34.84541,312.8
목포(165),126.38151,34.81732,156.2
여수(168),127.74063,34.73929,252.1
흑산도(169),125.45105,34.68719,185.5
완도(170),126.70182,34.3959,226.9
고창(172),126.599,35.34824,131.6
순천(174),127.3694,35.0204,180.6
홍성(177),126.68772,36.65759,151.8
제주(184),126.52969,33.51411,189.2
고산(185),126.16283,33.29382,185.4
성산(188),126.8802,33.38677,292.5
서귀포(189),126.5653,33.24616,262
진주(192),128.04004,35.16378,186.3
강화(201),126.44634,37.70739,123
양평(202),127.49446,37.48863,148.3
이천(203),127.48421,37.26399,157.3
인제(211),128.16714,38.05986,108.6
홍천(212),127.88043,37.6836,140.4
태백(216),128.98929,37.17038,140.8
정선군(217),128.6459,37.38149,128.7
제천(221),128.19433,37.15928,136.3
보은(226),127.73415,36.48761,164.9
천안(232),127.29282,36.76217,119
보령(235),126.55744,36.32724,101.4
부여(236),126.92079,36.27242,142.7
금산(238),127.48175,36.10563,148.6
세종(239),127.24438,36.48522,140.2
부안(243),126.71657,35.72961,135.2
임실(244),127.28556,35.61203,152.3
정읍(245),126.83904,35.56337,169.2
남원(247),127.39652,35.4213,117.2
장수(248),127.52031,35.65696,166
고창군(251),126.697,35.42661,79.7
영광군(252),126.47784,35.28366,152.4
김해시(253),128.89075,35.22981,235
순창군(254),127.1286,35.37131,164.6
북창원(255),128.6726,35.22655,217
양산시(257),129.02009,35.30737,205.2
보성군(258),127.21226,34.76335,278.4
강진군(259),126.78408,34.64457,263.3
장흥(260),126.91951,34.68886,244.6
해남(261),126.56907,34.55375,139.5
고흥(262),127.27572,34.61826,199.6
의령군(263),128.28812,35.32258,135.8
함양군(264),127.74538,35.51138,130.6
광양시(266),127.6914,34.9434,214.1
진도군(268),126.25846,34.47296,234.2
봉화(271),128.91449,36.94361,136
영주(272),128.51687,36.87183,179.4
문경(273),128.14879,36.62727,206.9
청송군(276),129.04005,36.4351,88.3
영덕(277),129.40926,36.53337,120.6
의성(278),128.68864,36.3561,90.9
구미(279),128.32055,36.13055,92.7
영천(281),128.9514,35.97742,83.2
경주시(283),129.2009,35.8174,93.3
거창(284),127.9099,35.66739,109.5
합천(285),128.16994,35.56505,108.1
밀양(288),128.74412,35.49147,121.6
산청(289),127.8791,35.413,158
거제(294),128.60459,34.88818,309
남해(295),127.92641,34.81662,318
