
지점정보,경도,위도,강수량(mm)
속초(90),128.56473,38.25085,299.7
북춘천(93),127.75443,37.94738,225.7
철원(95),127.3042,38.14787,238.3
동두천(98),127.0607,37.90188,188.2
파주(99),126.76648,37.88589,165.1
대관령(100),128.71834,37.67713,261.3
춘천(101),127.7357,37.90262,237.2
백령도(102),124.71237,37.97396,145.7
북강릉(104),128.85535,37.80456,321.3
강릉(105),128.89099,37.75147,303.9
동해(106),129.12433,37.50709,367
서울(108),126.9658,37.57142,247.4
인천(112),126.6249,37.47772,209.1
원주(114),127.94659,37.33749,263.1
울릉도(115),130.89863,37.48129,456.6
수원(119),126.983,37.25746,270.4
영월(121),128.45743,37.18126,225.3
충주(127),127.9525,36.97045,324.6
서산(129),126.4939,36.77658,328.6
울진(130),129.41278,36.99176,324.1
청주(131),127.44066,36.63924,329.5
대전(133),127.3721,36.37199,362.7
추풍령(135),127.99458,36.22025,248.6
안동(136),128.70733,36.57293,247
상주(137),128.15741,36.40837,266.2
포항(138),129.38002,36.03201,159.6
군산(140),126.76135,36.0053,300
대구(143),128.65296,35.87797,160.9
전주(146),127.11718,35.84092,313.8
울산(152),129.33469,35.58237,314.1
창원(155),128.57282,35.17019,323.9
광주(156),126.89156,35.17294,235.9
부산(159),129.03203,35.10468,355.4
통영(162),128.43561,34.84541,335.6
목포(165),126.38151,34.81732,229.5
여수(168),127.74063,34.73929,251.8
흑산도(169),125.45105,34.68719,266.8
완도(170),126.70182,34.3959,228.4
고창(172),126.599,35.34824,258.6
순천(174),127.3694,35.0204,330.9
홍성(177),126.68772,36.65759,373
서청주(예)(181),127.396944,36.63972,298.9
제주(184),126.52969,33.51411,189.6
고산(185),126.16283,33.29382,123.5
성산(188),126.8802,33.38677,324
서귀포(189),126.5653,33.24616,177.5
진주(192),128.04004,35.16378,350.6
강화(201),126.44634,37.70739,227
양평(202),127.49446,37.48863,277.2
이천(203),127.48421,37.26399,301.7
인제(211),128.16714,38.05986,220.4
홍천(212),127.88043,37.6836,279.2
태백(216),128.98929,37.17038,295.3
정선군(217),128.6459,37.38149,258.8
제천(221),128.19433,37.15928,318.2
보은(226),127.73415,36.48761,297.3
천안(232),127.29282,36.76217,265.7
보령(235),126.55744,36.32724,379.1
부여(236),126.92079,36.27242,377.8
금산(238),127.48175,36.10563,286.1
세종(239),127.24438,36.48522,418.4
부안(243),126.71657,35.72961,309.2
임실(244),127.28556,35.61203,254.2
정읍(245),126.83904,35.56337,306.4
남원(247),127.39652,35.4213,200.5
장수(248),127.52031,35.65696,276.3
고창군(251),126.697,35.42661,269.5
영광군(252),126.47784,35.28366,242.3
김해시(253),128.89075,35.22981,306.7
순창군(254),127.1286,35.37131,215.4
북창원(255),128.6726,35.22655,355.9
양산시(257),129.02009,35.30737,403.1
보성군(258),127.21226,34.76335,273.1
강진군(259),126.78408,34.64457,216.4
장흥(260),126.91951,34.68886,253.4
해남(261),126.56907,34.55375,211.2
고흥(262),127.27572,34.61826,230.7
의령군(263),128.28812,35.32258,319.2
함양군(264),127.74538,35.51138,171.2
광양시(266),127.6914,34.9434,256.4
진도군(268),126.25846,34.47296,212.4
봉화(271),128.91449,36.94361,246.1
영주(272),128.51687,36.87183,369
문경(273),128.14879,36.62727,304.2
청송군(276),129.04005,36.4351,262.8
영덕(277),129.40926,36.53337,251.6
의성(278),128.68864,36.3561,255.6
구미(279),128.32055,36.13055,262.9
영천(281),128.9514,35.97742,170.5
경주시(283),129.2009,35.8174,145.8
거창(284),127.9099,35.66739,179.3
합천(285),128.16994,35.56505,213.1
밀양(288),128.74412,35.49147,281.2
산청(289),127.8791,35.413,262.2
거제(294),128.60459,34.88818,434.7
남해(295),127.92641,34.81662,365.1
