
지점정보,경도,위도,강수량(mm)
속초(90),128.56473,38.25085,17.7
북춘천(93),127.75443,37.94738,21.7
철원(95),127.3042,38.14787,20.5
동두천(98),127.0607,37.90188,30.2
파주(99),126.76648,37.88589,28.6
대관령(100),128.71834,37.67713,18.2
춘천(101),127.7357,37.90262,21.9
백령도(102),124.71237,37.97396,43.2
북강릉(104),128.85535,37.80456,33.9
강릉(105),128.89099,37.75147,33.4
동해(106),129.12433,37.50709,39.5
서울(108),126.9658,37.57142,30.4
인천(112),126.6249,37.47772,28.1
원주(114),127.94659,37.33749,19
울릉도(115),130.89863,37.48129,348.5
수원(119),126.983,37.25746,30.4
영월(121),128.45743,37.18126,24.1
충주(127),127.9525,36.97045,31.4
서산(129),126.4939,36.77658,65.2
울진(130),129.41278,36.99176,44.6
청주(131),127.44066,36.63924,28.4
대전(133),127.3721,36.37199,27.3
추풍령(135),127.99458,36.22025,43.3
안동(136),128.70733,36.57293,8.8
상주(137),128.15741,36.40837,25.3
포항(138),129.38002,36.03201,24.3
군산(140),126.76135,36.0053,70.3
대구(143),128.65296,35.87797,18.3
전주(146),127.11718,35.84092,74.8
울산(152),129.33469,35.58237,22.5
창원(155),128.57282,35.17019,29.6
광주(156),126.89156,35.17294,54.5
부산(159),129.03203,35.10468,39.6
통영(162),128.43561,34.84541,36.1
목포(165),126.38151,34.81732,71
여수(168),127.74063,34.73929,45.4
흑산도(169),125.45105,34.68719,88.4
완도(170),126.70182,34.3959,74.8
고창(172),126.599,35.34824,97
순천(174),127.3694,35.0204,43.4
홍성(177),126.68772,36.65759,45
서청주(181),127.38458,36.63994,26
제주(184),126.52969,33.51411,92.6
고산(185),126.16283,33.29382,88.1
성산(188),126.8802,33.38677,123.2
서귀포(189),126.5653,33.24616,110.2
진주(192),128.04004,35.16378,32.4
강화(201),126.44634,37.70739,50.4
양평(202),127.49446,37.48863,34
이천(203),127.48421,37.26399,35.9
인제(211),128.16714,38.05986,22
홍천(212),127.88043,37.6836,15
태백(216),128.98929,37.17038,28.9
정선군(217),128.67348,37.37732,26.2
제천(221),128.19433,37.15928,31.7
보은(226),127.73415,36.48761,29.4
천안(232),127.29282,36.76217,36.4
보령(235),126.55744,36.32724,60.2
부여(236),126.92079,36.27242,57.7
금산(238),127.48175,36.10563,44
세종(239),127.24438,36.48522,35.3
부안(243),126.71657,35.72961,115.4
임실(244),127.28556,35.61203,103.8
정읍(245),126.83904,35.56337,112.4
남원(247),127.39652,35.4213,50.3
장수(248),127.52031,35.65696,81.2
고창군(251),126.697,35.42661,118.8
영광군(252),126.47784,35.28366,102
김해시(253),128.89075,35.22981,26.6
순창군(254),127.1286,35.37131,83.9
북창원(255),128.6726,35.22655,28.6
양산시(257),129.02009,35.30737,23.5
보성군(258),127.21226,34.76335,40
강진군(259),126.78408,34.64457,65.8
장흥(260),126.91951,34.68886,42.2
해남(261),126.56907,34.55375,68
고흥(262),127.27572,34.61826,46.3
의령군(263),128.28812,35.32258,25.4
함양군(264),127.74538,35.51138,37.8
광양시(266),127.6914,34.9434,33.7
진도군(268),126.25846,34.47296,85.8
봉화(271),128.91449,36.94361,22.6
영주(272),128.51687,36.87183,20.7
문경(273),128.14879,36.62727,28.2
청송군(276),129.04005,36.4351,12.5
영덕(277),129.40926,36.53337,13
의성(278),128.68864,36.3561,13.8
구미(279),128.32055,36.13055,20.2
영천(281),128.9514,35.97742,16.8
경주시(283),129.2009,35.8174,17.8
거창(284),127.9099,35.66739,25.1
합천(285),128.16994,35.56505,21.5
밀양(288),128.74412,35.49147,19.6
산청(289),127.8791,35.413,13.7
거제(294),128.60459,34.88818,39.8
남해(295),127.92641,34.81662,40.5
북부산(296),128.96024,35.21778,25.5
