
지점정보,경도,위도,강수량(mm)
속초(90),128.56473,38.25085,148.1
북춘천(93),127.75443,37.94738,216.5
철원(95),127.3042,38.14787,271.9
동두천(98),127.0607,37.90188,267.7
파주(99),126.76648,37.88589,256.2
대관령(100),128.71834,37.67713,164.8
춘천(101),127.7357,37.90262,215.5
백령도(102),124.71237,37.97396,191.5
북강릉(104),128.85535,37.80456,133.4
강릉(105),128.89099,37.75147,133.3
동해(106),129.12433,37.50709,94.4
서울(108),126.9658,37.57142,263
인천(112),126.6249,37.47772,214.2
원주(114),127.94659,37.33749,183.6
울릉도(115),130.89863,37.48129,268.4
수원(119),126.983,37.25746,193.2
영월(121),128.45743,37.18126,188.2
충주(127),127.9525,36.97045,172.6
서산(129),126.4939,36.77658,193.9
울진(130),129.41278,36.99176,165.5
청주(131),127.44066,36.63924,251.3
대전(133),127.3721,36.37199,271.2
추풍령(135),127.99458,36.22025,221
안동(136),128.70733,36.57293,207
상주(137),128.15741,36.40837,225.5
포항(138),129.38002,36.03201,221.5
군산(140),126.76135,36.0053,421.7
대구(143),128.65296,35.87797,258.1
전주(146),127.11718,35.84092,312.7
울산(152),129.33469,35.58237,321.2
창원(155),128.57282,35.17019,473.3
광주(156),126.89156,35.17294,291.4
부산(159),129.03203,35.10468,468.5
통영(162),128.43561,34.84541,405.7
목포(165),126.38151,34.81732,269.5
여수(168),127.74063,34.73929,472
흑산도(169),125.45105,34.68719,200.8
완도(170),126.70182,34.3959,519.3
고창(172),126.599,35.34824,252.7
순천(174),127.3694,35.0204,427
홍성(177),126.68772,36.65759,185.5
서청주(예)(181),127.396944,36.63972,228.1
제주(184),126.52969,33.51411,381
고산(185),126.16283,33.29382,444.3
성산(188),126.8802,33.38677,735
서귀포(189),126.5653,33.24616,821.5
진주(192),128.04004,35.16378,513.5
강화(201),126.44634,37.70739,264
양평(202),127.49446,37.48863,226.2
이천(203),127.48421,37.26399,230.4
인제(211),128.16714,38.05986,206.9
홍천(212),127.88043,37.6836,203.7
태백(216),128.98929,37.17038,205.9
정선군(217),128.6459,37.38149,190.5
제천(221),128.19433,37.15928,229.7
보은(226),127.73415,36.48761,223.3
천안(232),127.29282,36.76217,162.9
보령(235),126.55744,36.32724,240.4
부여(236),126.92079,36.27242,321.9
금산(238),127.48175,36.10563,279.6
세종(239),127.24438,36.48522,261.5
부안(243),126.71657,35.72961,305.1
임실(244),127.28556,35.61203,320
정읍(245),126.83904,35.56337,280.9
남원(247),127.39652,35.4213,256
장수(248),127.52031,35.65696,334.8
고창군(251),126.697,35.42661,263.3
영광군(252),126.47784,35.28366,300.8
김해시(253),128.89075,35.22981,459.1
순창군(254),127.1286,35.37131,289.7
북창원(255),128.6726,35.22655,466.5
양산시(257),129.02009,35.30737,448
보성군(258),127.21226,34.76335,484.4
강진군(259),126.78408,34.64457,455.6
장흥(260),126.91951,34.68886,439.7
해남(261),126.56907,34.55375,387.7
고흥(262),127.27572,34.61826,424.2
의령군(263),128.28812,35.32258,388.3
함양군(264),127.74538,35.51138,235.2
광양시(266),127.6914,34.9434,424
진도군(268),126.25846,34.47296,352.3
봉화(271),128.91449,36.94361,236
영주(272),128.51687,36.87183,285.5
문경(273),128.14879,36.62727,268.8
청송군(276),129.04005,36.4351,241.9
영덕(277),129.40926,36.53337,183.4
의성(278),128.68864,36.3561,228.5
구미(279),128.32055,36.13055,233.5
영천(281),128.9514,35.97742,241.8
경주시(283),129.2009,35.8174,224.3
거창(284),127.9099,35.66739,289.7
합천(285),128.16994,35.56505,287.9
밀양(288),128.74412,35.49147,380.4
산청(289),127.8791,35.413,291.5
거제(294),128.60459,34.88818,562.5
남해(295),127.92641,34.81662,622.6
