
지점정보,경도,위도,강수량(mm)
속초(90),128.56473,38.25085,5.5
북춘천(93),127.75443,37.94738,24.7
철원(95),127.3042,38.14787,13.6
동두천(98),127.0607,37.90188,24.5
파주(99),126.76648,37.88589,28.6
대관령(100),128.71834,37.67713,14.2
춘천(101),127.7357,37.90262,29.2
백령도(102),124.71237,37.97396,78.2
북강릉(104),128.85535,37.80456,19.2
강릉(105),128.89099,37.75147,17.4
동해(106),129.12433,37.50709,5.9
서울(108),126.9658,37.57142,30.6
인천(112),126.6249,37.47772,34
원주(114),127.94659,37.33749,16.4
울릉도(115),130.89863,37.48129,289.7
수원(119),126.983,37.25746,38.4
영월(121),128.45743,37.18126,32.5
충주(127),127.9525,36.97045,37
서산(129),126.4939,36.77658,44.6
울진(130),129.41278,36.99176,11.7
청주(131),127.44066,36.63924,24.5
대전(133),127.3721,36.37199,41.8
추풍령(135),127.99458,36.22025,36.1
안동(136),128.70733,36.57293,20.8
상주(137),128.15741,36.40837,27.9
포항(138),129.38002,36.03201,42.4
군산(140),126.76135,36.0053,54.4
대구(143),128.65296,35.87797,33.9
전주(146),127.11718,35.84092,51.5
울산(152),129.33469,35.58237,55.1
창원(155),128.57282,35.17019,57.5
광주(156),126.89156,35.17294,82.8
부산(159),129.03203,35.10468,85.5
통영(162),128.43561,34.84541,101.1
목포(165),126.38151,34.81732,84
여수(168),127.74063,34.73929,67.8
흑산도(169),125.45105,34.68719,103.3
완도(170),126.70182,34.3959,105.3
고창(172),126.599,35.34824,107.9
순천(174),127.3694,35.0204,75
홍성(177),126.68772,36.65759,46.8
제주(184),126.52969,33.51411,198.9
고산(185),126.16283,33.29382,134.7
성산(188),126.8802,33.38677,217.4
서귀포(189),126.5653,33.24616,168.7
진주(192),128.04004,35.16378,49.9
강화(201),126.44634,37.70739,33.1
양평(202),127.49446,37.48863,35.7
이천(203),127.48421,37.26399,31.5
인제(211),128.16714,38.05986,20.4
홍천(212),127.88043,37.6836,26.4
태백(216),128.98929,37.17038,11.4
정선군(217),128.6459,37.38149,32.5
제천(221),128.19433,37.15928,41.5
보은(226),127.73415,36.48761,39.5
천안(232),127.29282,36.76217,32.5
보령(235),126.55744,36.32724,60.4
부여(236),126.92079,36.27242,53.6
금산(238),127.48175,36.10563,51.1
세종(예)(239),127.235,36.48639,39.9
부안(243),126.71657,35.72961,86.9
임실(244),127.28556,35.61203,86.4
정읍(245),126.83904,35.56337,114.4
남원(247),127.39652,35.4213,79.8
장수(248),127.52031,35.65696,87.6
고창군(251),126.697,35.42661,36
영광군(252),126.47784,35.28366,80.1
김해시(253),128.89075,35.22981,58
순창군(254),127.1286,35.37131,103.3
북창원(255),128.6726,35.22655,60.2
양산시(257),129.02009,35.30737,70.1
보성군(258),127.21226,34.76335,63.3
강진군(259),126.76715,34.6289,86.1
장흥(260),126.91951,34.68886,79.3
해남(261),126.56907,34.55375,83.3
고흥(262),127.27572,34.61826,64.7
의령군(263),128.28812,35.32258,49
함양군(264),127.74538,35.51138,56.7
광양시(266),127.6914,34.9434,56.8
진도군(268),126.25846,34.47296,109.8
봉화(271),128.91449,36.94361,28.7
영주(272),128.51687,36.87183,25.4
문경(273),128.14879,36.62727,27.3
청송군(276),129.04005,36.4351,23.6
영덕(277),129.40926,36.53337,16.7
의성(278),128.68864,36.3561,24.6
구미(279),128.32055,36.13055,27
영천(281),128.9514,35.97742,28.3
경주시(283),129.2009,35.8174,41.3
거창(284),127.9099,35.66739,42.4
합천(285),128.16994,35.56505,42.2
밀양(288),128.74412,35.49147,44.8
산청(289),127.8791,35.413,50.5
거제(294),128.60459,34.88818,114.9
남해(295),127.92641,34.81662,86.6
