
지점정보,경도,위도,강수량(mm)
속초(90),128.56473,38.25085,83.4
북춘천(93),127.75443,37.94738,13.4
철원(95),127.3042,38.14787,16.3
동두천(98),127.0607,37.90188,21.9
파주(99),126.76648,37.88589,15.6
대관령(100),128.71834,37.67713,9.9
춘천(101),127.7357,37.90262,14.5
백령도(102),124.71237,37.97396,29.5
북강릉(104),128.85535,37.80456,50.6
강릉(105),128.89099,37.75147,52.5
동해(106),129.12433,37.50709,46
서울(108),126.9658,37.57142,18.1
인천(112),126.6249,37.47772,14.7
원주(114),127.94659,37.33749,12.5
울릉도(115),130.89863,37.48129,276.7
수원(119),126.983,37.25746,20.2
영월(121),128.45743,37.18126,8.5
충주(127),127.9525,36.97045,11.9
서산(129),126.4939,36.77658,31.6
울진(130),129.41278,36.99176,24.5
청주(131),127.44066,36.63924,7.5
대전(133),127.3721,36.37199,7
추풍령(135),127.99458,36.22025,8.9
안동(136),128.70733,36.57293,0.1
상주(137),128.15741,36.40837,4.9
포항(138),129.38002,36.03201,14.3
군산(140),126.76135,36.0053,25.9
대구(143),128.65296,35.87797,0.2
전주(146),127.11718,35.84092,10.6
울산(152),129.33469,35.58237,6.6
창원(155),128.57282,35.17019,2.4
광주(156),126.89156,35.17294,10.1
부산(159),129.03203,35.10468,4.5
통영(162),128.43561,34.84541,4.2
목포(165),126.38151,34.81732,22.4
여수(168),127.74063,34.73929,2.7
흑산도(169),125.45105,34.68719,20.1
완도(170),126.70182,34.3959,6.8
고창(172),126.599,35.34824,35.6
순천(174),127.3694,35.0204,3.7
홍성(177),126.68772,36.65759,25.6
제주(184),126.52969,33.51411,90.1
고산(185),126.16283,33.29382,54.5
성산(188),126.8802,33.38677,93.2
서귀포(189),126.5653,33.24616,66.9
진주(192),128.04004,35.16378,1.9
강화(201),126.44634,37.70739,19.4
양평(202),127.49446,37.48863,17.5
이천(203),127.48421,37.26399,17.2
인제(211),128.16714,38.05986,17.9
홍천(212),127.88043,37.6836,12.5
태백(216),128.98929,37.17038,4.6
정선군(217),128.6459,37.38149,14
제천(221),128.19433,37.15928,16.3
보은(226),127.73415,36.48761,15
천안(232),127.29282,36.76217,12
보령(235),126.55744,36.32724,28.1
부여(236),126.92079,36.27242,14.7
금산(238),127.48175,36.10563,12.7
세종(239),127.24438,36.48522,12.9
부안(243),126.71657,35.72961,37.2
임실(244),127.28556,35.61203,18.7
정읍(245),126.83904,35.56337,42.1
남원(247),127.39652,35.4213,10.5
장수(248),127.52031,35.65696,13.4
고창군(251),126.697,35.42661,12.7
영광군(252),126.47784,35.28366,23.4
김해시(253),128.89075,35.22981,3.5
순창군(254),127.1286,35.37131,21.3
북창원(255),128.6726,35.22655,2.9
양산시(257),129.02009,35.30737,3.4
보성군(258),127.21226,34.76335,3
강진군(259),126.76715,34.6289,8.4
장흥(260),126.91951,34.68886,5.6
해남(261),126.56907,34.55375,15.5
고흥(262),127.27572,34.61826,1.1
의령군(263),128.28812,35.32258,2.2
함양군(264),127.74538,35.51138,2.4
광양시(266),127.6914,34.9434,1.9
진도군(268),126.25846,34.47296,15.8
봉화(271),128.91449,36.94361,6.3
영주(272),128.51687,36.87183,6.2
문경(273),128.14879,36.62727,7.4
청송군(276),129.04005,36.4351,8.9
영덕(277),129.40926,36.53337,7.7
의성(278),128.68864,36.3561,0.9
구미(279),128.32055,36.13055,1.3
영천(281),128.9514,35.97742,0.1
경주시(283),129.2009,35.8174,3.8
거창(284),127.9099,35.66739,0.8
합천(285),128.16994,35.56505,1.2
밀양(288),128.74412,35.49147,3
산청(289),127.8791,35.413,1.8
거제(294),128.60459,34.88818,5.2
남해(295),127.92641,34.81662,2.4
