재난,발생시간,지점정보
호우주의보,2020-06-18 11:00,기타
호우주의보,,제주(184)
호우주의보,2020-06-18 11:30,기타
호우주의보,,여수(168)
호우주의보,2020-06-18 15:00,기타
호우주의보,,여수(168)
호우주의보,2020-06-20 18:40,기타
호우주의보,,영주(272)
호우주의보,2020-06-20 21:00,기타
호우주의보,,영주(272)
호우주의보,2020-06-24 04:00,기타
호우주의보,,흑산도(169)
호우주의보,2020-06-24 05:00,기타
호우주의보,,제주(184)
호우주의보,2020-06-24 11:30,기타
호우주의보,,제주(184)
호우주의보,2020-06-24 11:00,기타
호우주의보,,흑산도(169)
호우경보,2020-06-24 11:10,기타
호우경보,,제주(184)
호우주의보,2020-06-24 13:00,기타
호우주의보,,제주(184)
호우주의보,2020-06-24 13:15,기타
호우주의보,,완도(170)
호우주의보,2020-06-24 14:20,기타
호우주의보,,여수(168)
호우주의보,2020-06-24 16:00,기타
호우주의보,,군산(140)
호우주의보,2020-06-24 18:00,기타
호우주의보,,부산(159)
호우주의보,2020-06-24 17:10,기타
호우주의보,,통영(162)
호우주의보,2020-06-24 18:00,기타
호우주의보,,여수(168)
호우주의보,2020-06-24 20:30,기타
호우주의보,,남해(295)
호우주의보,2020-06-24 21:30,기타
호우주의보,,부산(159)
호우주의보,2020-06-27 18:30,기타
호우주의보,,철원(95)
호우주의보,2020-06-27 19:10,기타
호우주의보,,기타
호우경보,2020-06-27 19:30,기타
호우경보,,철원(95)
호우주의보,2020-06-27 22:30,기타
호우주의보,,철원(95)
호우주의보,2020-06-29 10:00,기타
호우주의보,,흑산도(169)
호우주의보,2020-06-29 13:00,기타
호우주의보,,완도(170)
호우주의보,2020-06-29 14:00,기타
호우주의보,,군산(140)
호우주의보,2020-06-29 16:00,기타
호우주의보,,서산(129)
호우주의보,2020-06-29 16:00,기타
호우주의보,,군산(140)
호우주의보,2020-06-29 19:00,기타
호우주의보,,서산(129)
호우주의보,2020-06-29 20:00,기타
호우주의보,,속초(90)
호우경보,2020-06-29 18:30,기타
호우경보,,제주(184)
호우주의보,2020-06-29 19:30,기타
호우주의보,,상주(137)
호우주의보,2020-06-29 20:30,기타
호우주의보,,군산(140)
호우주의보,2020-06-29 21:00,기타
호우주의보,,순천(174)
호우주의보,2020-06-29 21:30,기타
호우주의보,,제주(184)
호우주의보,2020-06-29 22:00,기타
호우주의보,,울산(152)
호우주의보,2020-06-29 23:00,기타
호우주의보,,포항(138)
호우주의보,2020-06-30 00:00,기타
호우주의보,,속초(90)
호우주의보,2020-06-30 01:00,기타
호우주의보,,서울(108)
호우주의보,2020-06-30 02:00,기타
호우주의보,,청주(131)
호우주의보,2020-06-30 04:00,기타
호우주의보,,동해(106)
호우주의보,2020-06-30 04:30,기타
호우주의보,,울릉도(115)
호우주의보,2020-06-30 05:00,기타
호우주의보,,영덕(277)
호우경보,2020-06-30 05:10,기타
호우경보,,울릉도(115)
호우주의보,2020-06-30 06:30,기타
호우주의보,,파주(99)
호우경보,2020-06-30 07:00,기타
호우경보,,동해(106)
호우경보,2020-06-30 13:00,기타
호우경보,,동해(106)
호우경보,2020-06-30 18:00,기타
호우경보,,속초(90)
호우주의보,2020-07-06 05:00,기타
호우주의보,,제주(184)
호우주의보,2020-07-06 07:30,기타
호우주의보,,제주(184)
호우주의보,2020-07-06 18:15,기타
호우주의보,,기타
호우주의보,2020-07-06 18:35,기타
호우주의보,,기타
호우주의보,2020-07-06 19:10,기타
호우주의보,,안동(136)
호우주의보,2020-07-06 20:40,기타
호우주의보,,전주(146)
호우주의보,2020-07-06 21:30,기타
호우주의보,,상주(137)
호우주의보,2020-07-06 23:00,기타
호우주의보,,안동(136)
호우주의보,2020-07-07 03:20,기타
호우주의보,,제주(184)
호우주의보,2020-07-07 05:15,기타
호우주의보,,제주(184)
호우주의보,2020-07-07 05:50,기타
호우주의보,,제주(184)
호우주의보,2020-07-07 07:00,기타
호우주의보,,제주(184)
호우주의보,2020-07-09 22:00,기타
호우주의보,,제주(184)
호우경보,2020-07-10 01:30,기타
호우경보,,제주(184)
호우경보,2020-07-10 02:20,기타
호우경보,,기타
호우주의보,2020-07-10 03:00,기타
호우주의보,,목포(165)
호우경보,2020-07-10 03:30,기타
호우경보,,제주(184)
호우주의보,2020-07-10 03:50,기타
호우주의보,,기타
호우경보,2020-07-10 04:00,기타
호우경보,,제주(184)
호우주의보,2020-07-10 04:10,기타
호우주의보,,목포(165)
호우주의보,2020-07-10 04:30,기타
호우주의보,,포항(138)
호우주의보,2020-07-10 05:00,기타
호우주의보,,제주(184)
호우주의보,2020-07-10 06:00,기타
호우주의보,,상주(137)
호우경보,2020-07-10 07:00,기타
호우경보,,제주(184)
호우주의보,2020-07-10 07:15,기타
호우주의보,,광주(156)
호우경보,2020-07-10 07:30,기타
호우경보,,부산(159)
호우주의보,2020-07-10 08:30,기타
호우주의보,,울산(152)
호우주의보,2020-07-10 09:00,기타
호우주의보,,울릉도(115)
호우주의보,2020-07-10 09:20,기타
호우주의보,,속초(90)
호우주의보,2020-07-10 09:30,기타
호우주의보,,동해(106)
호우주의보,2020-07-10 10:00,기타
호우주의보,,상주(137)
호우주의보,2020-07-10 10:30,기타
호우주의보,,파주(99)
호우주의보,2020-07-10 11:00,기타
호우주의보,,통영(162)
호우주의보,2020-07-10 12:00,기타
호우주의보,,창원(155)
호우주의보,2020-07-10 13:00,기타
호우주의보,,인천(112)
호우경보,2020-07-10 13:20,기타
호우경보,,속초(90)
호우주의보,2020-07-10 14:00,기타
호우주의보,,파주(99)
호우주의보,2020-07-10 14:30,기타
호우주의보,,강릉(105)
호우주의보,2020-07-10 16:30,기타
호우주의보,,속초(90)
호우주의보,2020-07-10 18:30,기타
호우주의보,,울릉도(115)
호우경보,2020-07-10 21:00,기타
호우경보,,동해(106)
호우주의보,2020-07-12 09:00,기타
호우주의보,,흑산도(169)
호우주의보,2020-07-12 13:00,기타
호우주의보,,기타
호우주의보,2020-07-12 15:30,기타
