
지점정보,경도,위도,강수량(mm)
속초(90),128.56473,38.25085,356.3
북춘천(93),127.75443,37.94738,369.6
철원(95),127.3042,38.14787,402.1
동두천(98),127.0607,37.90188,435.9
파주(99),126.76648,37.88589,461.8
대관령(100),128.71834,37.67713,338.6
춘천(101),127.7357,37.90262,398.1
백령도(102),124.71237,37.97396,202.4
북강릉(104),128.85535,37.80456,388.3
강릉(105),128.89099,37.75147,387.6
동해(106),129.12433,37.50709,297
서울(108),126.9658,37.57142,418.1
인천(112),126.6249,37.47772,401.8
원주(114),127.94659,37.33749,304.8
울릉도(115),130.89863,37.48129,295.4
수원(119),126.983,37.25746,388.4
영월(121),128.45743,37.18126,343.9
충주(127),127.9525,36.97045,322.3
서산(129),126.4939,36.77658,355.7
울진(130),129.41278,36.99176,320
청주(131),127.44066,36.63924,259.4
대전(133),127.3721,36.37199,276.8
추풍령(135),127.99458,36.22025,293.3
안동(136),128.70733,36.57293,361.7
상주(137),128.15741,36.40837,335.4
포항(138),129.38002,36.03201,268.2
군산(140),126.76135,36.0053,272.8
대구(143),128.65296,35.87797,229.1
전주(146),127.11718,35.84092,312.8
울산(152),129.33469,35.58237,333.2
창원(155),128.57282,35.17019,411.5
광주(156),126.89156,35.17294,296
부산(159),129.03203,35.10468,373.8
통영(162),128.43561,34.84541,424
목포(165),126.38151,34.81732,291.6
여수(168),127.74063,34.73929,336.2
흑산도(169),125.45105,34.68719,254.8
완도(170),126.70182,34.3959,406.4
고창(172),126.599,35.34824,208.8
순천(174),127.3694,35.0204,315.8
홍성(177),126.68772,36.65759,315.1
제주(184),126.52969,33.51411,240.6
고산(185),126.16283,33.29382,345.2
성산(188),126.8802,33.38677,462.9
서귀포(189),126.5653,33.24616,497.5
진주(192),128.04004,35.16378,358.3
강화(201),126.44634,37.70739,451
양평(202),127.49446,37.48863,350.8
이천(203),127.48421,37.26399,361.4
인제(211),128.16714,38.05986,361.4
홍천(212),127.88043,37.6836,386.2
태백(216),128.98929,37.17038,365.8
정선군(217),128.6459,37.38149,386.9
제천(221),128.19433,37.15928,361.9
보은(226),127.73415,36.48761,300
천안(232),127.29282,36.76217,265.9
보령(235),126.55744,36.32724,229.5
부여(236),126.92079,36.27242,274.9
금산(238),127.48175,36.10563,290
세종(239),127.24438,36.48522,297.7
부안(243),126.71657,35.72961,228.5
임실(244),127.28556,35.61203,238.3
정읍(245),126.83904,35.56337,217.3
남원(247),127.39652,35.4213,190.4
장수(248),127.52031,35.65696,278
고창군(251),126.697,35.42661,202.1
영광군(252),126.47784,35.28366,226.9
김해시(253),128.89075,35.22981,397.2
순창군(254),127.1286,35.37131,295.5
북창원(255),128.6726,35.22655,415.7
양산시(257),129.02009,35.30737,374.3
보성군(258),127.21226,34.76335,415.2
강진군(259),126.76715,34.6289,334.6
장흥(260),126.91951,34.68886,336.6
해남(261),126.56907,34.55375,299.6
고흥(262),127.27572,34.61826,313.5
의령군(263),128.28812,35.32258,298.9
함양군(264),127.74538,35.51138,213.8
광양시(266),127.6914,34.9434,295.4
진도군(268),126.25846,34.47296,362.5
봉화(271),128.91449,36.94361,381.5
영주(272),128.51687,36.87183,416.3
문경(273),128.14879,36.62727,376.3
청송군(276),129.04005,36.4351,296.1
영덕(277),129.40926,36.53337,273.2
의성(278),128.68864,36.3561,294
구미(279),128.32055,36.13055,257.9
영천(281),128.9514,35.97742,259.9
경주시(283),129.2009,35.8174,228.7
거창(284),127.9099,35.66739,234.2
합천(285),128.16994,35.56505,284
밀양(288),128.74412,35.49147,308.9
산청(289),127.8791,35.413,296.3
거제(294),128.60459,34.88818,517.2
남해(295),127.92641,34.81662,524.7
