
지점정보,경도,위도,강수량(mm)
속초(90),128.56473,38.25085,502
북춘천(93),127.75443,37.94738,228.6
철원(95),127.3042,38.14787,242.4
동두천(98),127.0607,37.90188,207.2
파주(99),126.76648,37.88589,263.4
대관령(100),128.71834,37.67713,575.4
춘천(101),127.7357,37.90262,241.5
백령도(102),124.71237,37.97396,292.8
북강릉(104),128.85535,37.80456,547.7
강릉(105),128.89099,37.75147,622.1
동해(106),129.12433,37.50709,320.6
서울(108),126.9658,37.57142,301.6
인천(112),126.6249,37.47772,251.2
원주(114),127.94659,37.33749,183.8
울릉도(115),130.89863,37.48129,312.1
수원(119),126.983,37.25746,242.4
영월(121),128.45743,37.18126,188.5
충주(127),127.9525,36.97045,187.1
서산(129),126.4939,36.77658,342.3
울진(130),129.41278,36.99176,259.5
청주(131),127.44066,36.63924,207.4
대전(133),127.3721,36.37199,218.6
추풍령(135),127.99458,36.22025,270.1
안동(136),128.70733,36.57293,160.8
상주(137),128.15741,36.40837,177.9
포항(138),129.38002,36.03201,271.1
군산(140),126.76135,36.0053,222.7
대구(143),128.65296,35.87797,198
전주(146),127.11718,35.84092,197.9
울산(152),129.33469,35.58237,299.6
창원(155),128.57282,35.17019,317.8
광주(156),126.89156,35.17294,218.7
부산(159),129.03203,35.10468,293.2
통영(162),128.43561,34.84541,420.6
목포(165),126.38151,34.81732,243.1
여수(168),127.74063,34.73929,224.2
흑산도(169),125.45105,34.68719,106.5
완도(170),126.70182,34.3959,289.8
고창(172),126.599,35.34824,296.4
순천(174),127.3694,35.0204,279.6
홍성(177),126.68772,36.65759,312.4
제주(184),126.52969,33.51411,482.4
고산(185),126.16283,33.29382,186.9
성산(188),126.8802,33.38677,518.6
서귀포(189),126.5653,33.24616,475.8
진주(192),128.04004,35.16378,254.2
강화(201),126.44634,37.70739,264.1
양평(202),127.49446,37.48863,201.6
이천(203),127.48421,37.26399,238.6
인제(211),128.16714,38.05986,254
홍천(212),127.88043,37.6836,188.6
태백(216),128.98929,37.17038,528.9
정선군(217),128.6459,37.38149,228.7
제천(221),128.19433,37.15928,159.9
보은(226),127.73415,36.48761,202.2
천안(232),127.29282,36.76217,232
보령(235),126.55744,36.32724,228.7
부여(236),126.92079,36.27242,255.1
금산(238),127.48175,36.10563,213.2
세종(예)(239),127.235,36.48639,227.8
부안(243),126.71657,35.72961,280.5
임실(244),127.28556,35.61203,236.6
정읍(245),126.83904,35.56337,287.1
남원(247),127.39652,35.4213,261.6
장수(248),127.52031,35.65696,350.1
고창군(251),126.697,35.42661,308.9
영광군(252),126.47784,35.28366,355.1
김해시(253),128.89075,35.22981,366.7
순창군(254),127.1286,35.37131,225.6
북창원(255),128.6726,35.22655,564.4
양산시(257),129.02009,35.30737,554.3
보성군(258),127.21226,34.76335,217.2
강진군(259),126.76715,34.6289,257.8
장흥(260),126.91951,34.68886,261.2
해남(261),126.56907,34.55375,330
고흥(262),127.27572,34.61826,290
의령군(263),128.28812,35.32258,366.1
함양군(264),127.74538,35.51138,216.5
광양시(266),127.6914,34.9434,244.7
진도군(268),126.25846,34.47296,351.3
봉화(271),128.91449,36.94361,195.3
영주(272),128.51687,36.87183,149.6
문경(273),128.14879,36.62727,158.5
청송군(276),129.04005,36.4351,274.1
영덕(277),129.40926,36.53337,231.8
의성(278),128.68864,36.3561,166.2
구미(279),128.32055,36.13055,192.7
영천(281),128.9514,35.97742,245.5
경주시(283),129.2009,35.8174,342
거창(284),127.9099,35.66739,197.5
합천(285),128.16994,35.56505,227.8
밀양(288),128.74412,35.49147,317.6
산청(289),127.8791,35.413,275.8
거제(294),128.60459,34.88818,481.3
남해(295),127.92641,34.81662,404.9
