
지점정보,경도,위도,강수량(mm)
속초(90),128.56473,38.25085,289.5
북춘천(93),127.75443,37.94738,628.3
철원(95),127.3042,38.14787,1090.5
동두천(98),127.0607,37.90188,621.4
파주(99),126.76648,37.88589,1019.8
대관령(100),128.71834,37.67713,417.7
춘천(101),127.7357,37.90262,658.1
백령도(102),124.71237,37.97396,354.7
북강릉(104),128.85535,37.80456,283.1
강릉(105),128.89099,37.75147,296.7
동해(106),129.12433,37.50709,289.7
서울(108),126.9658,37.57142,746
인천(112),126.6249,37.47772,531.4
원주(114),127.94659,37.33749,722.2
울릉도(115),130.89863,37.48129,328.8
수원(119),126.983,37.25746,668.4
영월(121),128.45743,37.18126,697.5
충주(127),127.9525,36.97045,700.7
서산(129),126.4939,36.77658,874.1
울진(130),129.41278,36.99176,359.4
청주(131),127.44066,36.63924,718.4
대전(133),127.3721,36.37199,649.3
추풍령(135),127.99458,36.22025,559.6
안동(136),128.70733,36.57293,530.7
상주(137),128.15741,36.40837,712.5
포항(138),129.38002,36.03201,387.2
군산(140),126.76135,36.0053,699.2
대구(143),128.65296,35.87797,588.8
전주(146),127.11718,35.84092,629.3
울산(152),129.33469,35.58237,422.9
창원(155),128.57282,35.17019,538.1
광주(156),126.89156,35.17294,531.6
부산(159),129.03203,35.10468,622.6
통영(162),128.43561,34.84541,710.5
목포(165),126.38151,34.81732,527.8
여수(168),127.74063,34.73929,590.9
흑산도(169),125.45105,34.68719,395.4
완도(170),126.70182,34.3959,589.6
고창(172),126.599,35.34824,441.4
순천(174),127.3694,35.0204,640.9
홍성(177),126.68772,36.65759,785.2
서청주(181),127.38458,36.63994,719.1
제주(184),126.52969,33.51411,474.8
고산(185),126.16283,33.29382,503.7
성산(188),126.8802,33.38677,822.7
서귀포(189),126.5653,33.24616,933.8
진주(192),128.04004,35.16378,558.9
강화(201),126.44634,37.70739,851
양평(202),127.49446,37.48863,699.2
이천(203),127.48421,37.26399,864.8
인제(211),128.16714,38.05986,541.7
홍천(212),127.88043,37.6836,666
태백(216),128.98929,37.17038,560.8
정선군(217),128.67348,37.37732,580.2
제천(221),128.19433,37.15928,738.6
보은(226),127.73415,36.48761,631.5
천안(232),127.29282,36.76217,682.7
보령(235),126.55744,36.32724,796
부여(236),126.92079,36.27242,602.8
금산(238),127.48175,36.10563,677.9
세종(239),127.24438,36.48522,717.1
부안(243),126.71657,35.72961,440.4
임실(244),127.28556,35.61203,578
정읍(245),126.83904,35.56337,510.6
남원(247),127.39652,35.4213,650.7
장수(248),127.52031,35.65696,721.3
고창군(251),126.697,35.42661,425.7
영광군(252),126.47784,35.28366,351.7
김해시(253),128.89075,35.22981,456
순창군(254),127.1286,35.37131,595.1
북창원(255),128.6726,35.22655,455.6
양산시(257),129.02009,35.30737,483
보성군(258),127.21226,34.76335,660.5
강진군(259),126.78408,34.64457,537.2
장흥(260),126.91951,34.68886,631.5
해남(261),126.56907,34.55375,498
고흥(262),127.27572,34.61826,490
의령군(263),128.28812,35.32258,485.8
함양군(264),127.74538,35.51138,473.6
광양시(266),127.6914,34.9434,742.8
진도군(268),126.25846,34.47296,564.2
봉화(271),128.91449,36.94361,649.9
영주(272),128.51687,36.87183,600.1
문경(273),128.14879,36.62727,647.5
청송군(276),129.04005,36.4351,310.2
영덕(277),129.40926,36.53337,222.4
의성(278),128.68864,36.3561,426.7
구미(279),128.32055,36.13055,426
영천(281),128.9514,35.97742,523.7
경주시(283),129.2009,35.8174,411.6
거창(284),127.9099,35.66739,517.2
합천(285),128.16994,35.56505,460.9
밀양(288),128.74412,35.49147,380.1
산청(289),127.8791,35.413,583.7
거제(294),128.60459,34.88818,780.7
남해(295),127.92641,34.81662,748.5
북부산(296),128.96024,35.21778,467.5
