시도,구군,행정구역명,수계,지류,세부단위유역 ,중권역,소권역,총인구(명),총면적,하수처리구역 내 물리적처리 공공하수처리인구,하수처리구역 내 생물학적적처리 공공하수처리인구,하수처리구역 내 고도처리 공공하수처리인구,하수처리구역 내 물리적처리 폐수처리인구,하수처리구역 내 생물학적적처리 폐수처리인구,하수처리구역 내 고도처리 폐수처리인구,미접속인구,하수처리구역 내 면적,하수처리구역 외 미처리인구,하수처리구역 외 오수처리인구,하수처리구역 외 정화조인구,하수처리구역 외 면적,공공하수처리구역 인구보급률,고도처리인구 보급률,하수도설치율
부산광역시,동래구,동래구,낙동강,수영강,동부경남,수영강,수영강,271838,16.631,0,0,271838,0,0,0,0,14.242,0,0,0,2.389,100.0,100.0,98.8
부산광역시,남구,남구,낙동강,남해,동부경남,수영강,동천,260487,26.824,0,0,260487,0,0,0,0,20.558,0,0,0,6.266,100.0,100.0,94.0
부산광역시,북구,북구,낙동강,낙동강,동부경남,낙동강하구언,낙동강하구언 구포수위표,275492,39.374,0,0,275492,0,0,0,0,10.66,0,0,0,28.714,100.0,100.0,95.9
부산광역시,해운대구,해운대구,낙동강,춘천,동부경남,수영강,죽성천 수영강,384289,51.523,0,129906,254383,0,0,0,0,20.624,0,0,0,30.899,100.0,66.2,93.9
부산광역시,사하구,사하구,낙동강,낙동강,남해동부 동부경남,낙동강하구언 낙동강남해 수영강,양곡천 낙동강하구언 부산천,302222,41.785,0,0,302222,0,0,0,0,22.102,0,0,0,19.683,100.0,100.0,92.5
부산광역시,금정구,금정구,낙동강,온천천  대천천,동부경남,낙동강하구언 수영강,회동댐 구포수위표 수영강 양산천하류,219952,65.279,0,0,219952,0,0,0,0,10.635,0,0,0,54.644,100.0,100.0,96.6
부산광역시,강서구,강서구,낙동강,송정천,남해동부 동부경남,낙동강하구언 낙동강남해,서낙동강 양곡천 낙동강하구언 가덕도 조만강 구포수위표,148202,182.156,0,0,141525,0,0,0,0,55.527,0,4156,2521,126.629,95.5,95.5,78.6
부산광역시,연제구,연제구,낙동강,온천천,동부경남,수영강,수영강,206589,12.106,0,0,206589,0,0,0,0,9.782,0,0,0,2.324,100.0,100.0,100.0
부산광역시,수영구,수영구,낙동강,수영강,동부경남,수영강,수영강 동천,176044,10.217,0,0,176044,0,0,0,0,8.64,0,0,0,1.577,100.0,100.0,90.8
부산광역시,사상구,사상구,낙동강,학장천,동부경남,낙동강하구언,낙동강하구언,208398,36.105,0,0,208398,0,0,0,0,16.556,0,0,0,19.549,100.0,100.0,98.0
부산광역시,기장군,기장군,낙동강,죽성천,동해남부 동부경남,회야강 수영강,죽성천 회동댐 회야댐 효암천 수영강,181164,218.337,0,0,175968,0,0,0,0,15.538,0,2185,3011,202.799,97.1,97.1,93.2
대구광역시,중구,중구,낙동강,신천  달서천,금호강,금호강,신천하류 금호강하류,89937,7.056,0,0,89937,0,0,0,0,7.056,0,0,0,0.0,100.0,100.0,98.9
대구광역시,동구,동구,낙동강,금호강,금호강,금호강,동촌수위표 금호강중류 신천하류 오목천 공산댐 팔거천 동화천,344747,182.113,0,0,341826,0,0,0,0,40.03,215,2265,441,142.083,99.2,99.2,88.8
대구광역시,서구,서구,낙동강,달서천  금호강,금호강,창녕합천보 금호강,진천천 금호강하류,166480,17.324,0,0,166480,0,0,0,0,13.32,0,0,0,4.004,100.0,100.0,81.7
대구광역시,남구,남구,낙동강,신천,금호강,창녕합천보 금호강,신천하류 진천천 금호강하류,141178,17.43,0,0,141178,0,0,0,0,9.28,0,0,0,8.15,100.0,100.0,95.4
