시도,행정구역명,총인구(명),총면적,하수도설치율,공공하수처리구역 인구보급률,고도처리인구 보급률,인구밀도
강원특별자치도,교동,15899,8.661,97.3,97.3,97.0,1835.7002655582496
강원특별자치도,정라동,8663,3.776,97.6,97.6,97.6,2294.2266949152545
강원특별자치도,성내동,7581,24.443,98.2,98.2,98.2,310.15014523585484
강원특별자치도,홍천읍,34134,107.673,94.0,95.0,90.3,317.0154077623917
강원특별자치도,화촌면,4515,211.5,68.4,68.4,65.3,21.347517730496453
강원특별자치도,두촌면,2398,140.9,21.3,30.7,29.5,17.01916252661462
강원특별자치도,내촌면,2364,146.8,43.7,43.7,42.0,16.103542234332423
강원특별자치도,서석면,3735,224.8,47.7,47.7,45.7,16.614768683274022
강원특별자치도,영귀미면,4052,149.7,70.6,70.6,67.6,27.067468269873082
강원특별자치도,남면,6197,120.4,53.8,81.6,77.6,51.470099667774086
강원특별자치도,서면,3739,123.4,57.2,73.2,64.2,30.299837925445704
강원특별자치도,북방면,3917,146.5,72.7,72.7,70.1,26.737201365187712
강원특별자치도,내면,3248,448.9,44.1,54.3,52.1,7.23546446870127
강원특별자치도,횡성읍,21508,72.474,74.4,92.7,92.3,296.76849628832406
강원특별자치도,우천면,4587,94.794,65.2,70.0,69.5,48.38913855307298
강원특별자치도,안흥면,3167,96.434,39.8,43.5,22.3,32.84111412987121
강원특별자치도,둔내면,5924,127.944,67.7,68.5,68.2,46.3015069092728
강원특별자치도,갑천면,2430,123.564,41.4,43.0,39.0,19.665922113236867
강원특별자치도,청일면,2397,133.89,31.5,32.8,29.7,17.902755993726196
강원특별자치도,공근면,3507,129.204,47.7,66.2,66.2,27.143122503947243
강원특별자치도,서원면,2115,123.364,33.2,34.2,34.2,17.144385720307383
강원특별자치도,강림면,1767,96.334,18.6,35.8,34.9,18.342433616376358
강원특별자치도,영월읍,20703,172.301,92.6,96.3,96.3,120.15600605916391
강원특별자치도,상동읍,1029,139.54,60.9,78.3,78.3,7.374229611580909
강원특별자치도,산솔면,1390,124.76,41.6,57.5,57.5,11.141391471625521
강원특별자치도,김삿갓면,1769,171.42,14.3,23.8,23.8,10.319682650799207
강원특별자치도,북면,2036,111.3,65.6,68.9,68.9,18.292902066486974
강원특별자치도,남면,2132,82.18,28.6,32.6,32.6,25.94305183743003
강원특별자치도,한반도면,2755,69.85,55.4,58.0,58.0,39.441660701503224
강원특별자치도,주천면,3791,102.54,73.1,75.1,75.1,36.970938170470056
강원특별자치도,무릉도원면,2070,153.517,71.0,71.0,71.0,13.483848694281415
강원특별자치도,평창읍,8419,161.4,49.9,84.9,83.8,52.16232961586121
강원특별자치도,미탄면,1633,110.0,80.2,89.3,88.2,14.845454545454546
강원특별자치도,방림면,2617,121.0,73.7,73.7,73.1,21.628099173553718
강원특별자치도,대화면,5112,166.5,94.4,94.4,93.6,30.7027027027027
강원특별자치도,봉평면,5759,217.4,62.4,63.3,62.2,26.490340386384545
강원특별자치도,용평면,3117,135.471,24.4,71.5,70.9,23.0086143897956
강원특별자치도,진부면,8634,331.0,92.0,94.5,93.9,26.084592145015105
강원특별자치도,대관령면,5946,221.487,92.3,94.0,93.6,26.845819393463273
강원특별자치도,정선읍,9988,213.731,91.1,92.1,92.1,46.73163930361061
강원특별자치도,고한읍,4256,52.73,93.3,93.3,93.3,80.71306656552248
강원특별자치도,사북읍,4400,46.68,94.5,94.5,94.5,94.25878320479863
강원특별자치도,신동읍,3308,119.87,76.9,77.6,77.6,27.596562943188452
강원특별자치도,남면,3171,130.99,79.0,79.0,79.0,24.207954805710358
강원특별자치도,북평면,2499,140.77,36.6,66.3,66.3,17.75236200895077
강원특별자치도,임계면,3403,243.63,59.2,59.2,59.2,13.967902146697861
강원특별자치도,화암면,1555,135.11,57.0,57.0,57.0,11.50914070017023
강원특별자치도,여량면,1915,136.27,79.4,86.5,86.5,14.052983048359872
강원특별자치도,철원읍,4590,99.76,69.9,92.7,84.6,46.01042502004811
강원특별자치도,김화읍,2457,87.98,75.8,75.8,43.2,27.926801545805862
강원특별자치도,갈말읍,13614,171.49,83.5,83.5,71.9,79.38655315178727
강원특별자치도,동송읍,14645,127.49,72.9,85.3,76.2,114.87175464742333
강원특별자치도,서면,4977,74.33,81.3,92.5,81.0,66.9581595587246
강원특별자치도,근남면,1903,129.13,92.4,92.4,0.0,14.73708665685743
강원특별자치도,근북면,101,23.73,100.0,100.0,0.0,4.256215760640539
강원특별자치도,근동면,0,19.71,0.0,0.0,0.0,0.0
강원특별자치도,원동면,0,61.3,0.0,0.0,0.0,0.0
강원특별자치도,원남면,0,77.99,0.0,0.0,0.0,0.0
강원특별자치도,임남면,0,17.22,0.0,0.0,0.0,0.0
강원특별자치도,화천읍,8214,291.923,91.8,98.6,98.4,28.1375568214906
강원특별자치도,간동면,2623,128.17,34.5,52.6,50.7,20.4650074120309
강원특별자치도,하남면,2876,118.589,19.7,46.0,44.4,24.251827741190162
강원특별자치도,상서면,3696,219.26,72.7,86.5,85.6,16.856699808446592
강원특별자치도,사내면,5866,151.153,29.5,56.1,55.8,38.80835974145403
강원특별자치도,양구읍,13903,162.855,82.2,93.9,93.9,85.37042154063431
강원특별자치도,국토정중앙면,3261,135.955,83.1,89.4,87.1,23.98587768011474
강원특별자치도,동면,1937,142.747,96.2,96.2,94.4,13.569462055244593
강원특별자치도,방산면,1184,162.182,76.8,76.8,76.8,7.300440246143222
강원특별자치도,해안면,1190,58.253,74.5,88.2,85.8,20.428132456697508
강원특별자치도,인제읍,10734,316.04,82.3,86.4,86.4,33.96405518288824
강원특별자치도,남면,3655,243.44,51.8,82.8,82.8,15.013966480446928
강원특별자치도,북면,8123,348.664,74.4,84.5,84.5,23.297501319321753
