시도명,시군구명,읍면동명,행정동코드,사회취약지수
서울특별시,성북구,안암동,1129060000,10.516752717869942
서울특별시,성북구,보문동,1129061000,26.07848105949716
서울특별시,성북구,정릉1동,1129062000,31.87177202870591
서울특별시,성북구,정릉2동,1129063000,33.61662529979638
서울특별시,성북구,정릉3동,1129064000,27.55267652680697
서울특별시,성북구,정릉4동,1129065000,32.9172346506793
서울특별시,성북구,길음1동,1129066000,30.002018826699732
서울특별시,성북구,길음2동,1129068500,29.141898862409356
서울특별시,성북구,월곡1동,1129071500,35.16601123739797
서울특별시,성북구,월곡2동,1129072500,29.260016605274924
서울특별시,성북구,장위1동,1129076000,29.985007029909777
서울특별시,성북구,장위2동,1129077000,38.436180915343904
서울특별시,성북구,장위3동,1129078000,29.765714803021183
서울특별시,성북구,성북동,1129052500,26.082611049965003
서울특별시,성북구,삼선동,1129055500,23.558198186959554
서울특별시,성북구,동선동,1129057500,13.37277054771086
서울특별시,성북구,종암동,1129070500,31.467202743093143
서울특별시,성북구,석관동,1129081000,35.028665239198375
서울특별시,강북구,번1동,1130559500,28.954079660763448
서울특별시,강북구,번2동,1130560300,44.0024697160841
서울특별시,강북구,번3동,1130560800,49.69539185768965
서울특별시,강북구,수유1동,1130561500,34.41144514118433
서울특별시,강북구,수유2동,1130562500,40.98676734185896
서울특별시,강북구,수유3동,1130563500,28.337475823292717
서울특별시,강북구,삼양동,1130553400,34.70929345668738
서울특별시,강북구,미아동,1130553500,32.68260633078709
서울특별시,강북구,송중동,1130554500,35.0049499903865
서울특별시,강북구,송천동,1130555500,40.43762079389889
서울특별시,강북구,삼각산동,1130557500,30.746318927759127
서울특별시,강북구,우이동,1130564500,40.542846112909906
서울특별시,강북구,인수동,1130566000,40.744209569145575
서울특별시,도봉구,쌍문1동,1132066000,34.90747153514547
서울특별시,도봉구,쌍문2동,1132067000,36.87193249606672
서울특별시,도봉구,쌍문3동,1132068000,32.029500128061336
서울특별시,도봉구,쌍문4동,1132068100,32.80325372988319
서울특별시,도봉구,방학1동,1132069000,36.90722730825232
서울특별시,도봉구,방학2동,1132070000,39.9263981441226
서울특별시,도봉구,방학3동,1132071000,40.30686965790878
서울특별시,도봉구,창1동,1132051100,32.759203742686225
서울특별시,도봉구,창2동,1132051200,31.501280950076005
서울특별시,도봉구,창3동,1132051300,36.043120673345776
서울특별시,도봉구,창4동,1132051400,28.218726990386138
서울특별시,도봉구,창5동,1132051500,31.47449200890006
서울특별시,도봉구,도봉1동,1132052100,49.47606933273586
서울특별시,도봉구,도봉2동,1132052200,44.96476851702749
서울특별시,노원구,월계1동,1135056000,30.312358291419173
서울특별시,노원구,월계2동,1135057000,40.95475053554517
서울특별시,노원구,월계3동,1135058000,38.42945690336316
서울특별시,노원구,공릉2동,1135060000,23.4542216903012
서울특별시,노원구,하계1동,1135061100,25.757654498767096
서울특별시,노원구,하계2동,1135061200,29.612811164708653
서울특별시,노원구,중계본동,1135061900,22.17417422910043
서울특별시,노원구,중계1동,1135062100,24.908593511072485
서울특별시,노원구,중계4동,1135062400,37.32173749380349
서울특별시,노원구,상계1동,1135063000,35.44390455299164
서울특별시,노원구,상계2동,1135064000,29.92360824355248
서울특별시,노원구,상계5동,1135067000,36.19215937250854
서울특별시,노원구,상계8동,1135070000,26.846001923541092
서울특별시,노원구,상계9동,1135071000,31.609593129624443
서울특별시,노원구,상계10동,1135072000,27.656324412950084
서울특별시,노원구,상계3·4동,1135066500,39.90695558947872
서울특별시,노원구,상계6·7동,1135069500,27.41269463639045
서울특별시,노원구,중계2·3동,1135062500,39.65240942711778
서울특별시,노원구,공릉1동,1135059500,28.495367747348503
서울특별시,은평구,녹번동,1138051000,35.02633647185119
서울특별시,은평구,불광1동,1138052000,34.081134983080055
서울특별시,은평구,갈현1동,1138055100,33.057402031957636
서울특별시,은평구,갈현2동,1138055200,29.54685453294331
서울특별시,은평구,구산동,1138056000,32.74060397852734
서울특별시,은평구,대조동,1138057000,25.284787507493476
서울특별시,은평구,응암1동,1138058000,29.130681962860848
서울특별시,은평구,응암2동,1138059000,32.864931714261594
서울특별시,은평구,신사1동,1138063100,31.736948681336692
서울특별시,은평구,신사2동,1138063200,34.61405862958694
서울특별시,은평구,증산동,1138064000,32.32259305654009
서울특별시,은평구,수색동,1138065000,27.825041047336068
서울특별시,은평구,진관동,1138069000,30.767699539938253
서울특별시,은평구,불광2동,1138053000,33.5864834291672
서울특별시,은평구,응암3동,1138060000,37.80148804550602
서울특별시,은평구,역촌동,1138062500,31.66041841417894
서울특별시,서대문구,천연동,1141052000,31.15341986288909
서울특별시,서대문구,홍제1동,1141062000,32.23646869335612
서울특별시,서대문구,홍제3동,1141064000,35.72626725006456
서울특별시,서대문구,홍제2동,1141065500,32.507171190790444
서울특별시,서대문구,홍은1동,1141066000,35.65051479715899
서울특별시,서대문구,홍은2동,1141068500,29.924052938387526
서울특별시,서대문구,남가좌1동,1141069000,33.694587340152204
서울특별시,서대문구,남가좌2동,1141070000,29.826044328981595
서울특별시,서대문구,북가좌1동,1141071000,32.63656643999979
서울특별시,서대문구,북가좌2동,1141072000,32.04156319280906
서울특별시,서대문구,충현동,1141056500,26.501495055992326
서울특별시,서대문구,북아현동,1141055500,25.639697628148443
서울특별시,서대문구,신촌동,1141058500,5.472862846594707
서울특별시,서대문구,연희동,1141061500,25.55724250531265
서울특별시,마포구,용강동,1144059000,28.67188410689498
서울특별시,마포구,대흥동,1144060000,15.234820060195048
서울특별시,마포구,염리동,1144061000,23.439642393003318
서울특별시,마포구,신수동,1144063000,22.984024646727622
서울특별시,마포구,서교동,1144066000,12.820435834372454
서울특별시,마포구,합정동,1144068000,18.189682635347122
서울특별시,마포구,망원1동,1144069000,23.547026845292834
서울특별시,마포구,망원2동,1144070000,25.94732859545168
서울특별시,마포구,연남동,1144071000,20.5425927210729
서울특별시,마포구,성산1동,1144072000,20.609972705430426
서울특별시,마포구,성산2동,1144073000,24.000198663791693
서울특별시,마포구,상암동,1144074000,26.602708519257433
서울특별시,마포구,도화동,1144058500,29.99526027821012
서울특별시,마포구,서강동,1144065500,18.450356456748292
서울특별시,마포구,공덕동,1144056500,23.56704760915214
서울특별시,마포구,아현동,1144055500,25.35943084515006
서울특별시,양천구,목1동,1147051000,29.072592433889216
서울특별시,양천구,목2동,1147052000,22.25640758025301
서울특별시,양천구,목3동,1147053000,25.763280197947015
서울특별시,양천구,목4동,1147054000,21.040271742516932
서울특별시,양천구,신월1동,1147056000,37.08797180337135
서울특별시,양천구,신월2동,1147057000,36.14433808743113
서울특별시,양천구,신월3동,1147058000,37.9457121155992
서울특별시,양천구,신월4동,1147059000,36.7654451065676
서울특별시,양천구,신월5동,1147060000,30.22013892967992
서울특별시,양천구,신월6동,1147061000,31.690414442314108
서울특별시,양천구,신월7동,1147061100,38.975521786821446
서울특별시,양천구,신정1동,1147062000,33.08810110020055
서울특별시,양천구,신정2동,1147063000,30.072138204273603
서울특별시,양천구,신정3동,1147064000,30.38453278931255
서울특별시,양천구,신정6동,1147067000,28.323824503574503
서울특별시,양천구,신정7동,1147068000,35.24173286929499
서울특별시,양천구,목5동,1147055000,30.320852361782325
서울특별시,양천구,신정4동,1147065000,29.20452441481391
서울특별시,강서구,염창동,1150051000,24.461987666321843
서울특별시,강서구,등촌1동,1150052000,14.700859339240116
서울특별시,강서구,등촌2동,1150053000,28.758216251526687
서울특별시,강서구,등촌3동,1150053500,41.35926224290421
서울특별시,강서구,화곡본동,1150059000,23.807901749043456
서울특별시,강서구,화곡2동,1150055000,28.94936446760604
서울특별시,강서구,화곡3동,1150056000,36.038061676809974
서울특별시,강서구,화곡4동,1150057000,34.214809931634996
서울특별시,강서구,화곡6동,1150059100,25.13744501157608
서울특별시,강서구,화곡8동,1150059300,30.70351385293676
서울특별시,강서구,가양1동,1150060300,8.702753055869218
서울특별시,강서구,가양2동,1150060400,53.31278600736955
서울특별시,강서구,가양3동,1150060500,43.626686813600436
서울특별시,강서구,발산1동,1150061100,30.320442968949703
서울특별시,강서구,공항동,1150062000,31.758180080578235
서울특별시,강서구,방화1동,1150063000,33.53451701463277
서울특별시,강서구,방화2동,1150064000,36.186525741381814
서울특별시,강서구,방화3동,1150064100,43.373907085881235
서울특별시,강서구,화곡1동,1150054000,25.262913448586733
서울특별시,강서구,우장산동,1150061500,29.867044578583513
서울특별시,구로구,신도림동,1153051000,27.77303303105366
서울특별시,구로구,구로1동,1153052000,27.24871871099341
서울특별시,구로구,구로3동,1153054000,26.38859615552826
서울특별시,구로구,구로4동,1153055000,49.66889545736237
서울특별시,구로구,구로5동,1153056000,32.55673795234793
서울특별시,구로구,고척1동,1153072000,31.23589956015611
서울특별시,구로구,고척2동,1153073000,37.56950048669039
서울특별시,구로구,개봉2동,1153075000,40.36966977788573
서울특별시,구로구,개봉3동,1153076000,38.77524436434489
서울특별시,구로구,오류1동,1153077000,29.167801069975102
서울특별시,구로구,수궁동,1153079000,35.941557897641566
서울특별시,구로구,가리봉동,1153059500,51.516178388357815
서울특별시,구로구,구로2동,1153053000,52.93767308783109
서울특별시,구로구,개봉1동,1153074000,37.546642153525376
서울특별시,구로구,오류2동,1153078000,38.472737849017015
서울특별시,구로구,항동,1153080000,33.04907963136443
서울특별시,금천구,가산동,1154551000,14.181929308177429
서울특별시,금천구,독산1동,1154561000,20.953768974268357
서울특별시,금천구,독산2동,1154562000,37.69547915023145
서울특별시,금천구,독산3동,1154563000,40.60128020082933
서울특별시,금천구,독산4동,1154564000,39.01079894698975
