시도,행정구역명,총인구(명),총면적,하수도설치율,공공하수처리구역 인구보급률,고도처리인구 보급률,인구밀도,인구밀도_정규화,하수도_인프라_지수,인프라_등급
서울특별시,종로구,150453,23.913,100.0,100.0,100.0,6291.682348513361,13.647296816164438,82.72945936323289,높음
서울특별시,중구,131793,9.96,100.0,100.0,100.0,13232.22891566265,28.702045899401057,85.74040917988022,높음
서울특별시,용산구,227106,21.868,100.0,100.0,100.0,10385.311871227364,22.526794231524605,84.50535884630492,높음
서울특별시,성동구,284766,16.82,100.0,100.0,100.0,16930.202140309157,36.723324695668374,87.34466493913368,높음
서울특별시,광진구,351180,17.063,100.0,100.0,100.0,20581.374904764696,44.64308854951173,88.92861770990234,높음
서울특별시,동대문구,359873,14.216,100.0,100.0,100.0,25314.64546989308,54.910032227745056,90.98200644554902,높음
서울특별시,중랑구,387470,18.497,100.0,100.0,100.0,20947.721252094936,45.437730914238685,89.08754618284773,높음
서울특별시,성북구,438168,24.578,100.0,100.0,100.0,17827.650744568313,38.66998169472542,87.73399633894509,높음
서울특별시,강북구,292977,23.6,100.0,100.0,100.0,12414.279661016948,26.927831048686606,85.38556620973732,높음
서울특별시,도봉구,309494,20.651,100.0,100.0,100.0,14986.877148806354,32.50805578979687,86.50161115795937,높음
서울특별시,노원구,502925,35.439,100.0,100.0,100.0,14191.286435847513,30.782338882537765,86.15646777650755,높음
서울특별시,은평구,470869,29.71,100.0,100.0,100.0,15848.83877482329,34.377737935650345,86.87554758713007,높음
서울특별시,서대문구,320629,17.626,100.0,100.0,100.0,18190.684216498357,39.457438096875585,87.89148761937511,높음
서울특별시,마포구,375162,23.854,100.0,100.0,100.0,15727.425169782846,34.1143795183426,86.82287590366852,높음
서울특별시,양천구,439252,17.406,99.2,100.0,100.0,25235.66586234632,54.738717452632564,90.7077434905265,높음
서울특별시,강서구,568826,41.452,100.0,100.0,100.0,13722.522435588153,29.76554224629568,85.95310844925913,높음
서울특별시,구로구,415651,20.123,100.0,100.0,100.0,20655.518560850767,44.80391365567453,88.96078273113491,높음
서울특별시,금천구,241105,13.021,100.0,100.0,100.0,18516.626987174564,40.1644410080369,88.03288820160738,높음
서울특별시,영등포구,397800,24.551,100.0,100.0,100.0,16203.00598753615,35.14596252276544,87.0291925045531,높음
서울특별시,동작구,389714,16.357,99.2,100.0,100.0,23825.51812679587,51.67996406432039,90.09599281286407,높음
서울특별시,관악구,497883,29.568,100.0,100.0,100.0,16838.575487012986,36.52457719626544,87.3049154392531,높음
서울특별시,서초구,412078,46.966,100.0,100.0,100.0,8773.964144274581,19.03161766575717,83.80632353315143,높음
서울특별시,강남구,550282,39.498,100.0,100.0,100.0,13931.895285837258,30.219693183090996,86.0439386366182,높음
서울특별시,송파구,660025,33.877,100.0,100.0,100.0,19482.982554535523,42.26056419531831,88.45211283906366,높음
서울특별시,강동구,463318,24.59,100.0,100.0,100.0,18841.72427816185,40.86960998804474,88.17392199760894,높음
부산광역시,중구,40902,3.013,100.0,100.0,100.0,13575.1742449386,29.44592908375349,85.8891858167507,높음
부산광역시,서구,106437,13.972,86.8,100.0,100.0,7617.878614371601,16.523950956361595,79.34479019127231,보통
부산광역시,동구,89584,10.121,64.3,100.0,100.0,8851.299278727398,19.1993654120249,73.12987308240497,보통
부산광역시,영도구,108856,14.2,76.4,100.0,100.0,7665.915492957747,16.628147815623265,76.24562956312465,보통
부산광역시,부산진구,361996,29.666,99.4,100.0,100.0,12202.38657048473,26.468213455234697,85.11364269104693,높음
부산광역시,동래구,271838,16.631,98.8,100.0,100.0,16345.258853947447,35.45452341051018,86.73090468210204,높음
부산광역시,남구,260487,26.824,94.0,100.0,100.0,9710.96779003877,21.064073559623715,82.41281471192474,높음
부산광역시,북구,275492,39.374,95.9,100.0,100.0,6996.799918728094,15.176768305342035,81.80535366106841,높음
부산광역시,해운대구,384289,51.523,93.9,100.0,66.2,7458.591308735904,16.178440643119046,74.6456881286238,보통
부산광역시,사하구,302222,41.785,92.5,100.0,100.0,7232.786885245902,15.688647958258043,80.8877295916516,높음
부산광역시,금정구,219952,65.279,96.6,100.0,100.0,3369.414359901347,7.308601311871004,80.44172026237419,높음
부산광역시,강서구,148202,182.156,78.6,95.5,95.5,813.5993324403258,1.7647794284894185,71.68295588569788,보통
부산광역시,연제구,206589,12.106,100.0,100.0,100.0,17065.009086403436,37.01573462743551,87.4031469254871,높음
부산광역시,수영구,176044,10.217,90.8,100.0,100.0,17230.498189292353,37.37469726761068,84.71493945352213,높음
부산광역시,사상구,208398,36.105,98.0,100.0,100.0,5771.998338180308,12.520049516194558,81.90400990323892,높음
부산광역시,기장군,181164,218.337,93.2,97.1,97.1,829.7448439797195,1.799800679725819,76.86996013594515,보통
대구광역시,중구,89937,7.056,98.9,100.0,100.0,12746.173469387755,27.64774236387782,85.19954847277556,높음
대구광역시,동구,344747,182.113,88.8,99.2,99.2,1893.0389373630655,4.106193356830023,77.061238671366,보통
대구광역시,서구,166480,17.324,81.7,100.0,100.0,9609.789886862156,20.844608430998036,78.67892168619962,보통
대구광역시,남구,141178,17.43,95.4,100.0,100.0,8099.713138267355,17.56909888335991,82.13381977667198,높음
