시도명,시군구명,읍면동명,아동인구수,고령자인구수,총인구,외국인,장애인인구수,행정동코드,아동인구수_pct,고령자인구수_pct,외국인_pct,장애인_pct,사회취약지수
서울특별시,종로구,사직동,619,1826,8411,273,5622,1111053000,7.359410296040898,21.70966591368446,3.2457496136012365,0.21365410077541772,31.001082625934913
서울특별시,종로구,삼청동,130,577,2060,66,5622,1111054000,6.310679611650485,28.009708737864074,3.203883495145631,0.21365410077541772,41.56662721865402
서울특별시,종로구,부암동,683,1953,9057,345,5622,1111055000,7.541128408965442,21.563431599867506,3.8092083471348124,0.21365410077541772,31.377888846367274
서울특별시,종로구,평창동,1484,3854,16392,294,5622,1111056000,9.053196681307956,23.51146900927282,1.7935578330893118,0.21365410077541772,36.32905834109498
서울특별시,종로구,무악동,903,1492,7446,48,5622,1111057000,12.127316680096696,20.037604082728983,0.6446414182111201,0.21365410077541772,33.80083274638791
서울특별시,종로구,교남동,1017,1678,9194,205,5622,1111058000,11.06156188818795,18.251033282575595,2.22971503154231,0.21365410077541772,29.610762008618586
서울특별시,종로구,가회동,282,808,3659,116,5622,1111060000,7.7070237769882475,22.082536212079802,3.1702650997540314,0.21365410077541772,32.245383596721105
서울특별시,종로구,종로1·2·3·4가동,266,1591,6892,680,5622,1111061500,3.8595473012188046,23.08473592571097,9.866511897852583,0.21365410077541772,32.30014566265717
서울특별시,종로구,종로5·6가동,217,1001,5820,653,5622,1111063000,3.7285223367697595,17.19931271477663,11.219931271477664,0.21365410077541772,21.478228184853194
서울특별시,종로구,이화동,273,1313,7892,696,5622,1111064000,3.459199189052205,16.63710086163203,8.819057273188038,0.21365410077541772,18.380218872427548
서울특별시,종로구,창신1동,184,1235,5356,1253,5622,1111067000,3.4353995519044065,23.058252427184467,23.394324122479464,0.21365410077541772,40.36139066285677
서울특별시,종로구,창신2동,302,1925,8687,1795,5622,1111068000,3.476459076781398,22.15954875100725,20.663059744445725,0.21365410077541772,36.89642843139756
서울특별시,종로구,창신3동,434,1330,6230,296,5622,1111069000,6.96629213483146,21.34831460674157,4.751203852327448,0.21365410077541772,30.635765696997332
서울특별시,종로구,숭인1동,322,1296,5903,483,5622,1111070000,5.454853464340166,21.95493816703371,8.182280196510249,0.21365410077541772,31.593869039911958
서울특별시,종로구,숭인2동,296,1735,10564,1066,5622,1111071000,2.8019689511548656,16.42370314274896,10.090874668686103,0.21365410077541772,17.722036581746885
서울특별시,종로구,청운효자동,948,2122,10521,146,5622,1111051500,9.010550327915597,20.169185438646515,1.3877007888983937,0.21365410077541772,29.47079853959449
서울특별시,종로구,혜화동,916,2640,20402,3894,5622,1111065000,4.489755906283698,12.939907852171356,19.086364081952752,0.21365410077541772,19.520376594978035
서울특별시,중구,소공동,232,262,2521,374,5317,1114052000,9.202697342324475,10.392701309004364,14.835382784609283,0.20206311878742367,19.422236164569323
서울특별시,중구,회현동,238,1214,4233,446,5317,1114054000,5.622489959839357,28.67942357665958,10.536262697850225,0.20206311878742367,46.49947784009687
서울특별시,중구,명동,82,685,2500,358,5317,1114055000,3.2800000000000002,27.400000000000002,14.32,0.20206311878742367,42.65316686040034
서울특별시,중구,필동,203,888,5761,1076,5317,1114057000,3.523693803159174,15.413990626627323,18.67731296649887,0.20206311878742367,22.48606381178468
서울특별시,중구,장충동,253,912,6218,1206,5317,1114058000,4.068832422000644,14.667095529109039,19.39530395625603,0.20206311878742367,22.382045994823223
서울특별시,중구,광희동,204,1148,6934,1577,5317,1114059000,2.9420248053071822,16.556100374963943,22.743005480242285,0.20206311878742367,26.415076745808346
서울특별시,중구,을지로동,163,425,3365,305,5317,1114060500,4.843982169390788,12.63001485884101,9.063893016344725,0.20206311878742367,12.943343542710025
서울특별시,중구,신당5동,666,1949,10193,555,5317,1114065000,6.533895810850583,19.12096536839007,5.44491317570882,0.20206311878742367,26.009138141459264
서울특별시,중구,황학동,839,2216,13827,1286,5317,1114067000,6.067838287408693,16.02661459463369,9.300643668185435,0.20206311878742367,21.719219393346666
서울특별시,중구,중림동,1211,2114,11771,393,5317,1114068000,10.287995922181633,17.959391725426897,3.3387137881233544,0.20206311878742367,28.478224540262755
서울특별시,중구,신당동,356,1681,9168,2114,5317,1114061500,3.883071553228621,18.335514834205934,23.058464223385688,0.20206311878742367,31.625033055116923
서울특별시,중구,다산동,667,2940,13042,609,5317,1114062500,5.114246281245208,22.542554822879925,4.669529213310842,0.20206311878742367,29.874647136096467
서울특별시,중구,약수동,1118,4107,15322,306,5317,1114063500,7.296697559065396,26.80459470043075,1.9971283122307792,0.20206311878742367,40.00642209063203
서울특별시,중구,청구동,880,2886,12416,311,5317,1114064500,7.087628865979381,23.244201030927837,2.5048324742268044,0.20206311878742367,33.046111510880124
서울특별시,중구,동화동,865,2138,9628,271,5317,1114066500,8.984212712920648,22.206065641877856,2.8147071042791856,0.20206311878742367,34.306529773525
서울특별시,용산구,후암동,1119,3055,15617,610,6871,1117051000,7.165268617532177,19.562015752065058,3.9059998719344304,0.261120122096744,27.030374728365263
서울특별시,용산구,용산2가동,432,2020,9524,1356,6871,1117052000,4.535909281814364,21.20957580848383,14.237715245695087,0.261120122096744,32.6923793689023
서울특별시,용산구,남영동,216,1455,6628,553,6871,1117053000,3.2589016294508144,21.952323476161737,8.343391671695837,0.261120122096744,28.229279056332928
서울특별시,용산구,원효로2동,1086,2483,12991,178,6871,1117057000,8.359633592487107,19.113232237703027,1.370179354938034,0.261120122096744,26.447151867582104
