재난,발생시간,지점정보
호우주의보,2020-07-06 07:30,제주(184)
호우주의보,2020-07-06 19:10,안동(136)
호우주의보,2020-07-06 20:40,전주(146)
호우주의보,2020-07-06 21:30,상주(137)
호우주의보,2020-07-06 23:00,안동(136)
호우주의보,2020-07-07 03:20,제주(184)
호우주의보,2020-07-07 05:15,제주(184)
호우주의보,2020-07-07 05:50,제주(184)
호우주의보,2020-07-07 07:00,제주(184)
호우주의보,2020-07-09 22:00,제주(184)
호우경보,2020-07-10 01:30,제주(184)
호우주의보,2020-07-10 03:00,목포(165)
호우경보,2020-07-10 03:30,제주(184)
호우경보,2020-07-10 04:00,제주(184)
호우주의보,2020-07-10 04:10,목포(165)
호우주의보,2020-07-10 04:30,포항(138)
호우주의보,2020-07-10 05:00,제주(184)
호우주의보,2020-07-10 06:00,상주(137)
호우경보,2020-07-10 07:00,제주(184)
호우주의보,2020-07-10 07:15,광주(156)
호우경보,2020-07-10 07:30,부산(159)
호우주의보,2020-07-10 08:30,울산(152)
호우주의보,2020-07-10 09:00,울릉도(115)
호우주의보,2020-07-10 09:20,속초(90)
호우주의보,2020-07-10 09:30,동해(106)
호우주의보,2020-07-10 10:00,상주(137)
호우주의보,2020-07-10 10:30,파주(99)
호우주의보,2020-07-10 11:00,통영(162)
호우주의보,2020-07-10 12:00,창원(155)
호우주의보,2020-07-10 13:00,인천(112)
호우경보,2020-07-10 13:20,속초(90)
호우주의보,2020-07-10 14:00,파주(99)
호우주의보,2020-07-10 14:30,강릉(105)
호우주의보,2020-07-10 16:30,속초(90)
호우주의보,2020-07-10 18:30,울릉도(115)
호우경보,2020-07-10 21:00,동해(106)
호우주의보,2020-07-12 09:00,흑산도(169)
호우주의보,2020-07-12 15:30,군산(140)
호우주의보,2020-07-12 18:00,순천(174)
호우주의보,2020-07-12 21:00,서산(129)
호우주의보,2020-07-12 20:00,청주(131)
호우주의보,2020-07-13 00:00,인천(112)
호우주의보,2020-07-13 04:30,제주(184)
호우주의보,2020-07-13 04:00,인천(112)
호우주의보,2020-07-13 07:30,문경(273)
호우주의보,2020-07-13 07:30,흑산도(169)
호우경보,2020-07-13 07:50,산청(289)
호우주의보,2020-07-13 09:30,서산(129)
호우주의보,2020-07-13 11:00,상주(137)
호우주의보,2020-07-13 14:00,울산(152)
호우주의보,2020-07-13 17:00,부산(159)
호우주의보,2020-07-13 15:00,포항(138)
호우주의보,2020-07-14 04:00,인천(112)
호우주의보,2020-07-16 14:30,부산(159)
호우주의보,2020-07-16 17:00,부산(159)
호우주의보,2020-07-17 18:00,양평(202)
호우주의보,2020-07-17 19:30,양평(202)
호우주의보,2020-07-19 08:30,파주(99)
호우주의보,2020-07-19 09:00,동두천(98)
호우주의보,2020-07-19 09:30,철원(95)
호우주의보,2020-07-19 11:00,동두천(98)
호우주의보,2020-07-19 12:00,철원(95)
호우주의보,2020-07-20 00:00,파주(99)
호우주의보,2020-07-20 05:00,파주(99)
호우주의보,2020-07-20 07:20,전주(146)
호우주의보,2020-07-20 09:00,인천(112)
호우경보,2020-07-22 02:30,합천(285)
호우주의보,2020-07-22 04:00,대구(143)
호우주의보,2020-07-22 04:20,창원(155)
