지점정보,2020강수량(mm),2021강수량(mm),2022강수량(mm),2023강수량(mm),2024강수량(mm),2020~2024강수량 총합 (mm),2020~2024강수량 평균 (mm),호우주의보,호우경보,호우특보
북강릉(104),851.2,655.5,711.1,783.3,283.1,3284.2,656.84,29,4,33
완도(170),725.8,937,246,783.4,589.6,3281.8,656.36,47,6,53
목포(165),834.2,560.2,378.8,950.9,527.8,3251.9,650.38,28,3,31
울산(152),854,727,410.6,811.6,422.9,3226.1,645.22,48,9,57
강릉(105),796.7,612.8,721.4,785.5,296.7,3213.1,642.62,0,0,0
대관령(100),836.5,420.6,834.1,680,417.7,3188.9,637.78,0,0,0
경주시(283),1240,621.8,312.1,561.5,411.6,3147,629.4,0,0,0
안동(136),835.9,374.6,409.9,962.5,530.7,3113.6,622.72,36,3,39
고창(172),952.9,674.4,377.8,574.9,441.4,3021.4,604.28,32,7,39
대구(143),838.5,464.7,313.9,790.2,588.8,2996.1,599.22,31,3,34
제주(184),719.5,493.9,574.4,668.7,474.8,2931.3,586.26,200,62,262
청송군(276),796.4,654.5,294.3,849.7,310.2,2905.1,581.02,0,0,0
영천(281),705.3,564.3,359,748.8,523.7,2901.1,580.22,6,4,10
백령도(102),636.6,564.6,630.7,486.7,354.7,2673.3,534.66,0,0,0
포항(138),639,690.2,325.2,578.3,387.2,2619.9,523.98,27,2,29
동해(106),638.4,574.7,514.9,579.8,289.7,2597.5,519.5,65,12,77
흑산도(169),689.9,410.9,281.7,794.3,395.4,2572.2,514.44,59,7,66
울진(130),758.5,461,332.4,581.2,359.4,2492.5,498.5,33,4,37
영덕(277),740.4,418,386.3,590.3,222.4,2357.4,471.48,4,3,7
남해(295),,,,1478.9,748.5,2227.4,1113.7,9,5,14
울릉도(115),477.5,483.5,485,388.9,328.8,2163.7,432.74,50,7,57
북부산(296),,,,,467.5,467.5,467.5,0,0,0
